AS      | CC | Registry | Allocated  | AS Name
10495   | BR | lacnic   |            | GERAES CONSULTORIA E SISTEMAS LTDA.,BR
10497   | US | arin     |            | WORLDBANK - The World Bank Group,US
10499   | US | arin     |            | IUMC-IT - Rochester Gas and Electric Corporation,US
10507   | US | arin     |            | SPCS - Sprint Personal Communications Systems,US
10508   | US | arin     |            | ARKNET-AS - University of Arkansas,US
10511   | US | arin     | 2005-05-04 | COUNTRY-INSURANCE - CC Services, Inc,US
10517   | US | arin     |            | MELLONBANK - Mellon Bank,US
10524   | PR | arin     | 2008-12-04 | GOYAD-02 - GOYA DE PUERTO RICO,PR
10525   | US | arin     |            | SIMON-SCHUSTER - Simon & Schuster,US
10531   | BR | lacnic   |            | Terra Networks Brasil S.A.,BR
10532   | US | arin     | 2002-07-12 | RACKSPACE - Rackspace Hosting,US
10533   | CA | arin     |            | OTTIX - Hypnovista Network Services,CA
10538   | US | arin     | 2002-11-14 | TELALASKA - TelAlaska,US
10544   | US | arin     |            | DLPTECHNOLOGIES - DLP Technologies, Inc.,US
10545   | US | arin     |            | LCOL - Lynchburg College,US
10546   | US | arin     |            | MSSTATE - Mississippi State University,US
10547   |    | arin     |            | -Reserved AS-,ZZ
10551   | US | arin     | 2005-05-04 | RAPID-CITY-REGIONAL - Rapid City Regional Hospital,US
10554   | US | arin     | 2011-03-30 | WESTERNU-POMONA - WESTERN UNIVERSITY OF HEALTH SCIENCES,US
10558   | US | arin     | 2010-07-23 | BIOLA---BIOLA-UNIVERSITY - Biola University, Inc.,US
10560   | MX | lacnic   |            | Instituto Tecnológico y de Estudios Superiores de Monterrey,MX
10561   | US | arin     |            | BRANDEIS - Brandeis University,US
10563   | US | arin     |            | ROCHELLEUTILITIES - Rochelle Municipal Utilities,US
10564   | US | arin     |            | TCSI - TCSI Corporation,US
10566   | CA | arin     |            | VIAGENIE - ViaGenie Inc.,CA
10569   | CU | lacnic   |            | Red CENIAInternet,CU
10570   | CA | arin     |            | HYPNO-NTT - NTT Software,CA
10578   | US | arin     |            | GIGAPOP-NE - Harvard University,US
10580   | US | arin     | 2010-11-02 | GENERAL-INSTRUMENT-SD-NOC - Home business of Motorola Mobility,US
10583   | US | arin     |            | CHIME - Connecticut Hospital Assoc.,US
10584   | US | arin     |            | TRADEWEB - TradeWeb, LLC,US
10586   | GT | lacnic   |            | OSI de Guatemala,GT
10587   | US | arin     |            | FIBERPIPE - Fiberpipe Inc.,US
10592   | US | arin     |            | CONNECTED-DATA-SYSTEMS - NET1Plus,US
